EGS,depth,abundance
3724476.981,4,0
3744810.472,4,0
3795325.921,4,0
3824512.278,4,0
3932763.982,4,0
3994753.569,4,0.027784
4043952.044,4,0
4054755.739,4,0
4165059.568,4,0
4256492.361,4,0
4418272.085,4,0
4427241.675,4,0
4811909.965,4,0
5093995.769,4,0
1617484.76,4,0
1625643.911,4,0
1722363.522,4,1.147851
1750314.056,4,0
1754733.171,4,0.015587
1885668.703,4,2.641347
1893964.868,4,0
2010331.075,4,0
2076140.156,4,0.201136
2123367.128,4,0
2494970.295,4,0
2605015.859,4,0
2924700.634,4,0
3031621.531,4,0
3367062.843,4,0.062598
3410519.923,4,0
3476664.615,4,0
3606563.054,4,0
3969110.008,4,0.036027
4008836.13,4,0
4389079.089,4,0
4498024.363,4,0.108741
5134217.828,4,0.290666
1487133.621,4,0.15154
1559781.851,4,0.581727
1658639.465,4,0.299756
1893114.437,4,0
1910883.04,4,0
2019228.252,4,0
2285009.705,4,0
2587489.057,4,0.047534
2701219.235,4,0.063233
2911907.607,4,0
2086716.713,4,0
2311844.235,4,0
2428730.489,4,0
2630273.493,4,0
2813444.225,4,0
2929940.167,4,0
3169500.791,4,0
3172728.077,4,0
3472166.766,4,0
1406429.706,4,0
1465728.791,4,0
1475548.154,4,0
1503497.951,4,0
1511662.976,4,0
1514019.692,4,0
1559113.56,4,4.793263
1567263.093,4,0.645908
1589367.387,4,1.766908
1614025.392,4,0.491834
1653819.762,4,0.031102
1661100.96,4,0
1674053.333,4,0
1680865.323,4,0.005581
1684321.319,4,0
1696368.289,4,0
1713131.142,4,0
1762687.146,4,0
1771922.343,4,0.24675
1799526.897,4,0
1806298.402,4,0.130869
1821135.608,4,0
1856128.258,4,0
1944826.811,4,0
1974684.592,4,0.066921
2004644.39,4,0
2076694.278,4,0.012103
2109145.899,4,0
2148850.411,4,0
2159085.863,4,0
2165036.874,4,0
2165447.726,4,0
2180526.233,4,0
2203080.71,4,0
2226727.618,4,0
2229416.948,4,0.254819
2358199.526,4,0.022964
2418216.423,4,0
2452459.495,4,0
2551114.852,4,0
2749898.461,4,0
2751708.804,4,0
2768861.119,4,0
2810488.609,4,0
2901619.964,4,0
2910265.532,4,0
2960911.95,4,0
3447663.875,4,0
1176367.406,4,0
1488538.78,4,0.118847
1509747.396,4,1.966911
1589307.157,4,0.01578
1624902.846,4,0.072317
1725990.042,4,0
1800128.457,4,0
1809468.462,4,0.031995
